TrägerNr;TrägerName;OT-Nr;EDV-Nr;Einrichtung;Strasse;Telefon;OktPlätze0<3;OktPlätze3<6;OktPlätze>6;Trägerart;BesonderesProfil
1;KiTa Bremen;511;101;Kita An Smidts Park;An Smidts Park 67;361-7140;10;80;0;öffentlicher Träger;
1;KiTa Bremen;445;102;Kita Auf den Hunnen;Auf den Hunnen 32;361-9292;26;100;0;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;521;103;Kita Alt-Aumund;An der Aumunder Kirche 21;361-7442;0;80;20;öffentlicher Träger;
1;KiTa Bremen;314;104;Kita Bismarckstraße (Betty-Gleim-Haus);Bismarckstr. 307;361-3396;5;98;55;öffentlicher Träger;
1;KiTa Bremen;331;105;Kita Bispinger Straße;Bispinger Str. 16 B;361-3140;10;57;40;öffentlicher Träger;
1;KiTa Bremen;343;107;Kita Carl-Friedrich-Gauß-Straße;Carl-Friedrich-Gauß-Str. 81;361-3072;0;80;58;öffentlicher Träger;
1;KiTa Bremen;332;108;Kita Carl-Severing-Straße;Carl-Severing-Str. 62;361-3161;0;120;40;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;213;109;Kita Delmestraße;Delmestr. 153;361-5709;0;40;20;öffentlicher Träger;
1;KiTa Bremen;535;110;Kita Farge-Rekum;Rekumer Str. 11;361-79030;0;100;20;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;372;111;Kita Graubündener Straße;Graubündener Str. 6;361-3106;0;80;80;öffentlicher Träger;
1;KiTa Bremen;522;112;Kita Grohn - Haus Windecke -;Tidemanstr. 35;361-7300/7832;0;132;0;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;244;113;Kita Grolland, Standort Grolland;Am Vorfeld 27;361-9928;0;75;40;öffentlicher Träger;
1;KiTa Bremen;384;114;Kita Arbergen;Ortwisch 73;487483;0;55;0;öffentlicher Träger;
1;KiTa Bremen;431;115;Kita Haferkamp;Ellmersstr. 22;361-8252;0;60;35;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;442;116;Kita Halmerweg;Halmerweg 7;361-9171;0;104;20;öffentlicher Träger;
1;KiTa Bremen;524;117;Kita Hammersbeck;Beckstraße 19;662294;0;48;0;öffentlicher Träger;
1;KiTa Bremen;251;118;Kinder- und Jugendhaus Warturmer Platz;Warturmer Platz 30 A;361-8466;8;20;60;öffentlicher Träger;
1;KiTa Bremen;335;119;Kita Heinrich-Imbusch-Weg;Heinrich-Imbusch-Weg 2;361-3129;10;140;40;öffentlicher Träger;
1;KiTa Bremen;211;120;Kita Hohentor;Langemarckstr. 113;361-8247;0;80;20;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;382;121;Kita Hohwisch;Suhrfeldstr. 68;361-3081;0;60;40;öffentlicher Träger;
1;KiTa Bremen;243;122;Kita An der Höhpost;An der Höhpost 1A;361-9913;0;80;34;öffentlicher Träger;
1;KiTa Bremen;514;123;Kita Lesum;Am Heidbergstift 16;361-7157;0;60;20;öffentlicher Träger;
1;KiTa Bremen;525;124;Kita Lobbendorf;Fröbelstraße 65;662744;0;40;20;öffentlicher Träger;
1;KiTa Bremen;533;125;Kita Ebenroder Strasse;Ebenroder Str. 1;602302;0;60;56;öffentlicher Träger;
1;KiTa Bremen;513;126;Kita Marßel;Landskronastr. 44;361-7158;0;140;80;öffentlicher Träger;
1;KiTa Bremen;445;127;Kita Am Nonnenberg;Am Nonnenberg 38;361-9296;0;110;0;öffentlicher Träger;
1;KiTa Bremen;372;129;Kita Schwedenhaus;Osterholzer Heerstr. 100;361-3069;5;50;20;öffentlicher Träger;
1;KiTa Bremen;383;130;Kita Osterhop;Osterhop 86;361-3068;0;100;60;öffentlicher Träger;
1;KiTa Bremen;251;131;Kita Roter Sand;Roter Sand 21 A;361-96818;0;80;40;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;311;132;Kita Im Viertel;Gleimstr. 12;361-3594;0;118;48;öffentlicher Träger;
1;KiTa Bremen;435;133;Kinderhaus Löwenzahn;Schleswiger Str. 51;361-5699;0;76;0;öffentlicher Träger;
1;KiTa Bremen;523;134;Kita Schönebeck;Schönebecker Heidberg 6;361-79033;0;58;0;öffentlicher Träger;
1;KiTa Bremen;381;135;Kita Zeppelinstraße;Zeppelinstr. 54;361-3058;5;90;0;öffentlicher Träger;integrativer Kindergarten für behinderte oder von Behinderung bedrohte Kinder
1;KiTa Bremen;515;136;Kita St. Magnus;Richthofenstr. 4;361-79038/39;0;58;30;öffentlicher Träger;
